IMDb ID,Title,Runtime (mins),Year,Genres,Release Date,IMDb Rating,Metascore,Rating,Box Office
tt1240982,Your Highness,102,2011,"Adventure, Comedy, Fantasy",4/8/2011,5.5,31,R,21600000
tt1657507,Colombiana,108,2011,"Action, Drama, Thriller",7/27/2011,6.4,45,PG-13,36665854
tt0477302,Extremely Loud & Incredibly Close,129,2011,"Adventure, Drama, Mystery",12/25/2011,6.9,46,PG-13,31836745
tt1448755,Killer Elite,116,2011,"Action, Crime, Thriller",9/10/2011,6.5,44,R,25093607
tt1204342,The Muppets,103,2011,"Adventure, Comedy, Family, Musical",11/4/2011,7.1,75,PG,88625922
tt0448694,Puss in Boots,90,2011,"Animation, Action, Adventure, Comedy, Family, Fantasy",10/23/2011,6.6,65,PG,149234747
tt0471042,Tower Heist,104,2011,"Action, Comedy, Crime",10/24/2011,6.2,59,PG-13,78009155
tt1568911,War Horse,146,2011,"Drama, History, War",12/4/2011,7.2,72,PG-13,79883359
tt1591479,Act of Valor,110,2012,"Action, Adventure, Drama, Thriller, War",2/7/2012,6.5,40,R,65800000
tt1366365,The Cold Light of Day,93,2012,"Action, Thriller",4/4/2012,4.9,22,PG-13,3700000
tt1142977,Frankenweenie,87,2012,"Animation, Comedy, Family, Horror, Sci-Fi",9/20/2012,7.0,74,PG,35287788
tt1838544,Gone,94,2012,"Action, Adventure, Drama, Horror, Mystery, Thriller",2/21/2012,5.9,36,PG-13,11400000
tt1397514,Journey 2: The Mysterious Island,94,2012,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",1/19/2012,5.8,41,PG,103812241
tt1327194,The Lucky One,101,2012,"Drama, Romance",4/19/2012,6.5,39,PG-13,60443237
tt1667353,Mirror Mirror,106,2012,"Adventure, Comedy, Drama, Family, Fantasy",3/15/2012,5.6,46,PG,64933670
tt2109184,Paranormal Activity 4,88,2012,"Horror, Mystery, Thriller",10/16/2012,4.6,40,R,53921335
tt0431021,The Possession,92,2012,"Horror, Mystery, Thriller",8/30/2012,5.9,45,PG-13,49100000
tt1899353,Serbuan maut,101,2011,"Action, Thriller",9/8/2011,7.6,73,R,1200000
tt2083383,Trouble with the Curve,111,2012,"Drama, Sport",9/19/2012,6.8,58,PG-13,35754555
tt1496025,Underworld Awakening,88,2012,"Action, Fantasy, Horror",1/19/2012,6.4,39,R,62321039
tt1596365,The Woman in Black,95,2012,"Drama, Fantasy, Horror, Thriller",2/3/2012,6.4,62,PG-13,54322273
tt1213663,The World's End,109,2013,"Action, Comedy, Sci-Fi",7/10/2013,7.0,81,R,33408732
tt1132449,Lay the Favorite,94,2012,"Comedy, Drama, Romance",1/21/2012,4.8,38,R,20998
tt1990314,Robot & Frank,89,2012,"Comedy, Crime, Drama, Sci-Fi",1/20/2012,7.1,67,PG-13,3200000
tt1308729,Bullet to the Head,92,2012,"Action, Crime, Thriller",11/14/2012,5.7,48,R,9500000
tt1748179,Red Lights,114,2012,"Drama, Fantasy, Horror, Mystery, Thriller",1/20/2012,6.2,36,R,49251
tt1764183,Arbitrage,107,2012,"Drama, Thriller",1/21/2012,6.6,73,R,7918283
tt0478304,The Tree of Life,139,2011,"Drama, Fantasy",5/16/2011,6.8,85,PG-13,13303319
tt1726669,Killer Joe,102,2011,"Crime, Drama, Thriller",9/8/2011,6.7,62,R,1800000
